--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
56,Lim Dugkeun,kr KOR,DFMF,Sangmu,26-183,2000,12,5,564,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,17ae8824
57,Lee Euihyung,kr KOR,FWMF,Bucheon FC,28-177,1998,12,4,394,4.4,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,4180ede6
58,Erick Farias,br BRA,FWMF,Ulsan HD,29-236,1997,7,6,409,4.5,1,1,2,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches,f50ae991
59,Gerso Fernandes,pt POR,MF,Incheon United,35-185,1991,24,18,1574,17.5,3,0,3,3,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,43cbe937
60,Morgan Ferrier,gy GUY,FW,Incheon United,31-285,1994,21,13,1265,14.1,6,1,7,6,0,0,3,0,0.43,0.07,0.50,0.43,0.50,Matches,00c8db49
61,Tobias Figueiredo,pt POR,DF,Jeju United,32-206,1994,12,11,896,10.0,2,0,2,2,0,0,1,1,0.20,0.00,0.20,0.20,0.20,Matches,352cabbc
62,Hólmbert Friðjónsson,is ISL,FW,Gwangju FC,33-130,1993,20,8,1066,11.8,1,2,3,0,1,1,4,0,0.08,0.17,0.25,0.00,0.17,Matches,5e175384
63,Vitor Gabriel,br BRA,FW,Bucheon FC,26-219,2000,19,10,995,11.1,5,1,6,5,0,0,5,0,0.45,0.09,0.54,0.45,0.54,Matches,094c2abd
64,Jefferson Galego,br BRA,FWMF,Bucheon FC,29-145,1997,24,19,1887,21.0,8,3,11,6,2,2,4,1,0.38,0.14,0.52,0.29,0.43,Matches,a14b8d2d
65,João Gamboa,pt POR,MF,Jeonbuk,29-361,1996,11,1,239,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f5dfeb5d
66,Kim Geonhui,kr KOR,DF,Incheon United,23-345,2002,17,16,1440,16.0,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,7687777c
67,Choi Geonju,kr KOR,MFFW,FC Anyang,27-062,1999,24,19,1577,17.5,5,0,5,5,0,0,3,0,0.29,0.00,0.29,0.29,0.29,Matches,6bb6684d
68,Lee Gi-hyuk,kr KOR,DFMF,Gangwon FC,26-051,2000,22,21,1932,21.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,18c8c3c7
69,Teun van Grunsven,nl NED,DF,Gwangju FC,26-301,1999,8,8,682,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f54637a1
70,Kim Gun-hee,kr KOR,FW,Gangwon FC,31-186,1995,17,2,561,6.2,0,1,1,0,0,1,1,0,0.00,0.16,0.16,0.00,0.16,Matches,cbb61de9
71,Min Gyeonghyeon,kr KOR,MF,Sangmu,24-254,2001,4,0,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be39c302
72,Choi Gyuhyeon,kr KOR,MF,FC Anyang,25-342,2000,12,6,617,6.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,399d642c
73,Jung Gyumin,kr KOR,MF,Gwangju FC,19-235,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7096de36
74,Kim Hajun,kr KOR,DF,Jeonbuk,24-041,2002,11,6,550,6.1,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,87d50cdc
75,Lee Han-do,kr KOR,DF,FC Seoul,32-164,1994,8,0,44,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9b5cb7de
76,Jung Hanmin,kr KOR,FW,Pohang Steelers,25-231,2001,6,2,203,2.3,1,0,1,1,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches,4deb2dfe
77,Roh Heedong,kr KOR,GK,Gwangju FC,24-085,2002,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a77c3af
78,Lee Heonjae,kr KOR,FW,Pohang Steelers,20-157,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,73baf5d0
79,Breno Herculano,br BRA,FW,FC Anyang,27-192,1999,18,10,722,8.0,2,3,5,2,0,0,0,0,0.25,0.37,0.62,0.25,0.62,Matches,83b2c094
80,Abdallah Hleihil,il ISR,FW,Gangwon FC,25-228,2001,21,1,578,6.4,7,0,7,7,0,0,3,0,1.09,0.00,1.09,1.09,1.09,Matches,28c144b9
81,Lee Hojae,kr KOR,FW,Pohang Steelers,25-317,2000,20,18,1681,18.7,8,0,8,4,4,4,4,0,0.43,0.00,0.43,0.21,0.21,Matches,558c9a3d
82,Jeong Hojin,kr KOR,DF,Bucheon FC,27-021,1999,14,10,938,10.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0b94353d
83,Kim Hojin,kr KOR,DF,Pohang Steelers,20-332,2005,15,13,1138,12.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,66b4612d
84,Park Homin,kr KOR,FW,Incheon United,24-322,2001,6,1,86,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3d9d4045
85,Park Hoyoung,kr KOR,DF,Gangwon FC,27-142,1999,9,1,108,1.2,0,1,1,0,0,0,2,0,0.00,0.83,0.83,0.00,0.83,Matches,56ba7888
86,Lee Huigyun,kr KOR,MFFW,Ulsan HD,28-120,1998,21,13,1154,12.8,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,2cb40392
87,Kang Huisu,kr KOR,MF,Gwangju FC,23-183,2003,8,3,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4aea221
88,Oh Huseong,kr KOR,MFFW,Incheon United,27-002,1999,8,7,478,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,5235e9e6
89,Ahn Hyeokju,kr KOR,MFFW,Gwangju FC,21-358,2004,18,12,1107,12.3,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,f7c18620
90,Jo Hyeon-woo,kr KOR,GK,Ulsan HD,34-336,1991,25,25,2250,25.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,c75a3145
91,Joo Hyeon-woo,kr KOR,DF,FC Anyang,35-349,1990,2,2,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7bf46719
92,Oh Hyeongjun,kr KOR,MF,FC Anyang,19-132,2007,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,84994055
93,Kim Hyeongug,kr KOR,MF,Daejeon Hana,31-066,1995,11,1,301,3.3,0,0,0,0,0,1,0,0,0.00,0.00,0.00,0.00,0.00,Matches,65fad235
94,Han Hyeonseo,kr KOR,DF,Pohang Steelers,22-237,2004,8,7,603,6.7,0,1,1,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches,b88d8478
95,Chae Hyeonu,kr KOR,MFFW,FC Anyang,22-008,2004,16,9,710,7.9,0,2,2,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,ffb5964d
96,Kim Hyeonyeob,kr KOR,GK,Bucheon FC,25-005,2001,11,9,887,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a767baaa
97,Lee Hyobin,kr KOR,FW,Gangwon FC,19-026,2007,1,0,25,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c43d5b6e
98,Kim Hyung-keun,kr KOR,GK,Bucheon FC,32-233,1994,16,16,1363,15.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc1be7c5
99,Moon Hyunho,kr KOR,GK,Sangmu,23-106,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32028051
100,Lee Hyunsik,kr KOR,MF,Daejeon Hana,30-159,1996,15,8,771,8.6,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,c65a4b65
101,Cho Hyuntaek,kr KOR,DFMF,Ulsan HD,25-025,2001,23,22,2023,22.5,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,a4552ad4
102,Kim Hyunwoo,kr KOR,DF,Sangmu,27-173,1999,7,4,364,4.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1cee961c
103,Juan Ibiza,es ESP,DF,Incheon United,31-010,1995,23,23,2052,22.8,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,3fd69c15
104,Yu In-soo,kr KOR,DFMF,Jeju United,31-242,1994,21,19,1608,17.9,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches,eed53c90
105,Kim In-sung,kr KOR,MF,Pohang Steelers,36-352,1989,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ae7d1c33
106,Kim Ingyun,kr KOR,MF,Sangmu,28-035,1998,19,1,408,4.5,1,0,1,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches,cd4041b9
107,Hwang Injae,kr KOR,GK,Pohang Steelers,32-127,1994,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e923520a
108,Jo Injung,kr KOR,DFMF,Jeju United,20-292,2005,6,4,283,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,e74a9233
109,Back Inwoo,kr KOR,MF,Ulsan HD,19-271,2006,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8e0321d1
110,John Iredale,au AUS,FWMF,Gwangju FC,27-026,1999,9,8,701,7.8,2,1,3,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches,83fb76eb
111,Masatoshi Ishida,jp JPN,MFFW,Daejeon Hana,31-115,1995,16,9,739,8.2,3,2,5,3,0,0,1,0,0.37,0.24,0.61,0.37,0.61,Matches,2b34a458
112,Italo,br BRA,MF,Jeonbuk,23-318,2002,5,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da8bc098
113,Italo,br BRA,MF,Jeju United,29-024,1997,17,15,1316,14.6,1,2,3,1,0,0,1,1,0.07,0.14,0.21,0.07,0.21,Matches,6cb94039
114,Jeong Jae-hee,kr KOR,MFFW,Daejeon Hana,32-121,1994,18,10,802,8.9,6,2,8,6,0,0,0,0,0.67,0.22,0.90,0.67,0.90,Matches,6116cf00
115,Kim Jae-woo,kr KOR,DF,Jeju United,28-202,1998,14,11,921,10.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,168b3b82
116,Hwang Jaehwan,kr KOR,FW,Pohang Steelers,25-137,2001,2,1,76,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b5f8ec6c
