--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
280,Park Seungho,kr KOR,FWMF,Incheon United,22-360,2003,10,6,411,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,67de0445
281,Yoo Seungjae,kr KOR,MF,Jeju United,18-149,2008,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc30ef2d
282,Kim Seungsub,kr KOR,MF,Jeonbuk,29-299,1996,24,15,1171,13.0,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,3f5922fa
283,Ha Seungun,kr KOR,DFMF,Gwangju FC,28-115,1998,23,17,1570,17.4,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,9a7727b5
284,Jeong Seungwon,kr KOR,MF,FC Seoul,29-181,1997,25,21,1913,21.3,7,4,11,7,0,0,4,0,0.33,0.19,0.52,0.33,0.52,Matches,7f4b180f
285,Lee Seungwon,kr KOR,MFFW,Gangwon FC,23-174,2003,12,2,361,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba11efea
286,Yeo Seungwon,kr KOR,DF,Incheon United,26-114,2000,5,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2fb674e9
287,Sung Shin,kr KOR,MF,Bucheon FC,21-226,2005,4,2,122,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,90024ec7
288,Hong Sihoo,kr KOR,DFMF,Sangmu,25-231,2001,9,4,437,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3db28267
289,Kim Sinjin,kr KOR,FW,Jeju United,25-045,2001,17,7,665,7.4,3,0,3,3,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,5fb82d00
290,Jin Siwoo,kr KOR,DF,Pohang Steelers,24-022,2002,6,1,181,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,22b95e8a
291,Jang Siyoung,kr KOR,MFDF,Ulsan HD,24-149,2002,17,9,766,8.5,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,3e51ccb2
292,Lee Soobin,kr KOR,MF,Sangmu,26-112,2000,16,11,862,9.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,a6a63445
293,Park Sooil,kr KOR,DF,FC Seoul,30-186,1996,9,8,637,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ec158ffd
294,Lee Soonmin,kr KOR,MF,Daejeon Hana,32-097,1994,12,8,587,6.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,90539ec6
295,Park Subin,kr KOR,MF,Jeju United,26-339,1999,2,0,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55c81a75
296,Ki Sung-yueng,kr KOR,MF,Pohang Steelers,37-215,1989,22,13,1102,12.2,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,1d8c99b0
297,Gu Sung-yun,kr KOR,GK,FC Seoul,32-061,1994,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d10453b9
298,Kwak Sunghoon,kr KOR,DF,Gwangju FC,20-070,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1efe8a9a
299,Park Sunghyun,kr KOR,MF,Gwangju FC,23-105,2003,6,1,144,1.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2bb39944
300,Hong Sungwook,kr KOR,DF,Bucheon FC,23-344,2002,24,24,2160,24.0,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,28bbed0c
301,Kwon Sungyun,kr KOR,DFMF,Gwangju FC,25-150,2001,22,14,1297,14.4,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,0a8dc1d3
302,Lee Tae-hee,kr KOR,DFMF,FC Anyang,34-072,1992,17,15,1358,15.1,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,fdfacbb5
303,Nam Tae-hee,kr KOR,FWMF,Jeju United,35-055,1991,16,13,1100,12.2,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,484e9d32
304,Kim Tae-hwan,kr KOR,DF,Jeonbuk,37-034,1989,20,19,1680,18.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2e2f2a1c
305,An Tae-hyun,kr KOR,MFDF,Bucheon FC,33-179,1993,23,19,1692,18.8,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches,eee918fb
306,Jin Taeho,kr KOR,FW,Jeonbuk,20-219,2006,3,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40146931
307,Lee Taehui,kr KOR,GK,Incheon United,31-123,1995,5,5,439,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f732a0eb
308,Kim Taehwan,kr KOR,DF,Sangmu,26-155,2000,24,21,1902,21.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2d0b6c94
309,Kim Taehyun,kr KOR,DF,Jeonbuk,29-251,1996,14,10,1002,11.1,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,143204a4
310,Park Taejun,kr KOR,MF,Sangmu,27-220,1999,24,22,1922,21.4,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,Matches,219fdd3c
311,Kazuki Takahashi,jp JPN,MF,Bucheon FC,29-325,1996,16,12,1069,11.9,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,96e7578a
312,Jakob Tranziska,de GER,FWMF,Pohang Steelers,25-063,2001,20,13,1014,11.3,4,2,6,4,0,0,2,1,0.36,0.18,0.53,0.36,0.53,Matches,65bf5976
313,Miłosz Trojak,pl POL,MFDF,Ulsan HD,32-114,1994,14,9,726,8.1,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,d02ffcea
314,Blaise Tsague,cm CMR,FW,FC Anyang,26-112,2000,5,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cfb9ba86
315,Marko Tuci,me MNE,DF,Gangwon FC,27-266,1998,20,20,1746,19.4,3,0,3,3,0,0,7,0,0.15,0.00,0.15,0.15,0.15,Matches,cea3ddc7
316,Patrick Twumasi,gh GHA,FWMF,Jeonbuk,32-110,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3993b65
317,Dam Uh,kr KOR,FW,Bucheon FC,20-157,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69700792
318,Iker Undabarrena,es ESP,MF,Incheon United,31-101,1995,9,2,331,3.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ed21e2f8
319,João Victor,br BRA,MFFW,Daejeon Hana,27-183,1999,15,12,873,9.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5049696b
320,Wanderson,br BRA,MFDF,Pohang Steelers,37-149,1989,19,8,1076,12.0,3,2,5,3,0,0,0,0,0.25,0.17,0.42,0.25,0.42,Matches,98cc3363
321,Cho Wi-je,kr KOR,DF,Jeonbuk,25-002,2001,21,20,1759,19.5,2,0,2,2,0,0,7,0,0.10,0.00,0.10,0.10,0.10,Matches,dcf21532
322,Jung Won-jin,kr KOR,MF,Incheon United,32-017,1994,1,1,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91943640
323,Park Wonjae,kr KOR,DF,Gwangju FC,32-112,1994,6,5,334,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7790bff4
324,Um Wonsang,kr KOR,MF,Daejeon Hana,27-233,1999,13,6,617,6.9,2,1,3,2,0,0,0,0,0.29,0.15,0.44,0.29,0.44,Matches,9157dbbf
325,Cho Wonwoo,kr KOR,FW,Gangwon FC,21-107,2005,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cee05afd
326,Choi Woojin,kr KOR,DF,Jeonbuk,22-040,2004,21,15,1264,14.0,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,b53e9cdd
327,Kim Woojin,kr KOR,MF,Gwangju FC,21-113,2005,4,2,174,1.9,0,1,1,0,0,0,1,0,0.00,0.52,0.52,0.00,0.52,Matches,cef96800
328,Chung Woon,kr KOR,DF,Jeju United,37-058,1989,4,2,212,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,68a424cc
329,Kim Yegeon,kr KOR,MF,Jeonbuk,18-020,2008,8,1,259,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,fb00aaba
330,Sung Yegeon,kr KOR,MF,Bucheon FC,20-301,2005,8,6,537,6.0,2,0,2,2,0,0,3,0,0.34,0.00,0.34,0.34,0.34,Matches,75ef3f80
331,Lee Yeong-jae,kr KOR,MF,Jeonbuk,31-348,1994,17,1,252,2.8,0,3,3,0,0,0,1,0,0.00,1.07,1.07,0.00,1.07,Matches,e4c18bc4
332,Kim Yesung,kr KOR,DF,Pohang Steelers,29-310,1996,8,7,573,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,09027759
333,Kim Yiseok,kr KOR,MFFW,Sangmu,28-069,1998,15,5,539,6.0,1,0,1,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches,da2489c8
334,Ri Yong-jik,kp PRK,MF,Gwangju FC,35-200,1991,6,3,314,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2edf857a
335,Kim Yonghak,kr KOR,MFFW,Pohang Steelers,23-099,2003,9,4,349,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,be92df85
336,Hong Yongjun,kr KOR,MF,Gwangju FC,23-154,2003,10,4,425,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,200262e8
337,Kim Yongwook,,DFMF,Gwangju FC,,,13,12,893,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dc938ca2
338,Heo Yool,kr KOR,FW,Ulsan HD,25-137,2001,8,1,133,1.5,2,0,2,2,0,0,0,0,1.35,0.00,1.35,1.35,1.35,Matches,2880ba02
339,Lee You-hyeon,kr KOR,MF,Gangwon FC,29-200,1997,21,20,1751,19.5,2,2,4,2,0,0,5,0,0.10,0.10,0.21,0.10,0.21,Matches,a4cf8951
340,Kim Young-bin,kr KOR,DF,Jeonbuk,34-341,1991,22,22,1915,21.3,2,1,3,2,0,0,5,0,0.09,0.05,0.14,0.09,0.14,Matches,3d3da10c
341,Kim Young-chan,kr KOR,DF,FC Anyang,32-357,1993,18,10,1083,12.0,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,145c7bde
342,Kim Young-gwon,kr KOR,DF,Ulsan HD,36-181,1990,18,14,1200,13.3,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,9459ace1
343,Ahn Young-kyu,kr KOR,DF,Gwangju FC,36-266,1989,18,15,1277,14.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,979307e9
344,Seo Youngjae,kr KOR,DF,Daejeon Hana,31-096,1995,2,2,132,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9caae30d
345,Goh Youngjun,kr KOR,FWMF,Gangwon FC,25-049,2001,23,22,1335,14.8,1,1,2,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,Matches,f1c1e9c3
346,Kim Youngwhan,kr KOR,MFFW,Incheon United,24-157,2002,5,2,170,1.9,0,1,1,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches,ee3d00f3
347,Cho Youngwook,kr KOR,FWMF,FC Seoul,27-203,1999,19,9,737,8.2,3,1,4,3,0,0,2,0,0.37,0.12,0.49,0.37,0.49,Matches,c0b4f2c7
348,Kang Yun-seong,kr KOR,MFDF,Daejeon Hana,29-057,1997,19,11,1166,13.0,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,81c93371
349,Kang Yungu,kr KOR,MFFW,Gangwon FC,24-141,2002,9,3,262,2.9,0,1,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,a9f44951
350,Kim Yunho,kr KOR,FW,Gwangju FC,19-106,2007,8,4,248,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e817879a
351,Hong Yunsang,kr KOR,MF,Sangmu,24-161,2002,16,11,984,10.9,2,0,2,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,ee945e21
